n_estimators,max_depth,learning_rate,ngram_range,max_features,rmse,mae,r2,rmse_train,mae_train,r2_train,params
100,10,,"(1, 2)",1000.0,0.09843076677323231,0.0721661084416841,0.6496410086003317,0.010921289853355828,0.007994574939269793,0.9957339654781854,"n_estimators=100 | max_depth=10 | learning_rate=nan | ngram_range=(1, 2) | max_features=1000.0"
50,10,,"(1, 2)",1000.0,0.09858585761930959,0.07200652505325117,0.6485360638321551,0.02603516237744855,0.019200884627452775,0.9757564016796708,"n_estimators=50 | max_depth=10 | learning_rate=nan | ngram_range=(1, 2) | max_features=1000.0"
50,6,0.1,"(1, 1)",,0.09934909471363887,0.07599574962333303,0.6430730350167797,0.08500692816376483,0.06606816532304026,0.7415448777070963,"n_estimators=50 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=nan"
50,6,0.1,"(1, 1)",1000.0,0.09977141605311936,0.07674110452106436,0.6400320760852931,0.08600816723209935,0.06681837213565806,0.7354206866226213,"n_estimators=50 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=1000.0"
50,6,0.1,"(1, 2)",1000.0,0.09996384336652481,0.07668990587793498,0.6386422099113601,0.08523001504021474,0.06619256505428402,0.7401865507062468,"n_estimators=50 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=1000.0"
50,6,0.1,"(1, 2)",,0.10054498520916796,0.07638016027465175,0.634428475326567,0.08639257069591724,0.06691493917317722,0.733050388834236,"n_estimators=50 | max_depth=6 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=nan"
100,3,,"(1, 2)",,0.10135650873193541,0.07684590852160451,0.6285034231907732,0.08901442938718332,0.06850932690448279,0.7166016463828722,"n_estimators=100 | max_depth=3 | learning_rate=nan | ngram_range=(1, 2) | max_features=nan"
100,3,,"(1, 2)",1000.0,0.101447436783282,0.0770289505830797,0.6278365767849816,0.09009046239775731,0.0692957192811197,0.7097086263452357,"n_estimators=100 | max_depth=3 | learning_rate=nan | ngram_range=(1, 2) | max_features=1000.0"
100,3,,"(1, 1)",1000.0,0.10199138975925556,0.07783062743151621,0.6238348564869329,0.09180499127627069,0.07041831380804925,0.698554305117214,"n_estimators=100 | max_depth=3 | learning_rate=nan | ngram_range=(1, 1) | max_features=1000.0"
100,3,,"(1, 1)",,0.1024909320310203,0.076988283269291,0.6201410040412505,0.09074282835440758,0.06932710633304118,0.7054892703073992,"n_estimators=100 | max_depth=3 | learning_rate=nan | ngram_range=(1, 1) | max_features=nan"
50,3,,"(1, 2)",1000.0,0.10532900742547326,0.08077165745195367,0.5988123881364353,0.09986831581863605,0.0772968103620634,0.6432763110667719,"n_estimators=50 | max_depth=3 | learning_rate=nan | ngram_range=(1, 2) | max_features=1000.0"
50,3,,"(1, 1)",1000.0,0.10576820288353182,0.08099942736814507,0.5954597099779135,0.10073471025930819,0.0776779496349625,0.6370600444173175,"n_estimators=50 | max_depth=3 | learning_rate=nan | ngram_range=(1, 1) | max_features=1000.0"
50,3,,"(1, 2)",,0.10633170368371174,0.08146044246752238,0.5911376922372316,0.09919378225508303,0.07695350199238954,0.648078825070151,"n_estimators=50 | max_depth=3 | learning_rate=nan | ngram_range=(1, 2) | max_features=nan"
50,3,,"(1, 1)",,0.10695697871453669,0.0810873224867827,0.5863149902221061,0.10008619958487533,0.07702007310413402,0.641718077383137,"n_estimators=50 | max_depth=3 | learning_rate=nan | ngram_range=(1, 1) | max_features=nan"
100,3,0.1,"(1, 2)",1000.0,0.10883032790074444,0.08403329500523447,0.5716967140893353,0.1048594010867875,0.08163779154897322,0.6067296141834799,"n_estimators=100 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=1000.0"
100,3,0.1,"(1, 2)",,0.10885346644113242,0.08413909058118094,0.5715145706263502,0.10540186261114821,0.08222374076904321,0.6026501351183553,"n_estimators=100 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=nan"
100,3,0.1,"(1, 1)",1000.0,0.10933365968001871,0.084769231090717,0.5677258141321648,0.10595864211296367,0.08273200780682204,0.5984410900699104,"n_estimators=100 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=1000.0"
100,3,0.1,"(1, 1)",,0.10944942453115125,0.08474195040231568,0.5668099269336084,0.10512541638585182,0.08208106261226794,0.604731726782945,"n_estimators=100 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=nan"
50,3,0.1,"(1, 2)",1000.0,0.1146440050455556,0.08995351903118318,0.524714866610821,0.11361104242296917,0.08945971958221456,0.538344952968736,"n_estimators=50 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=1000.0"
50,3,0.1,"(1, 1)",1000.0,0.11499748544904462,0.09027628790257364,0.5217794670157878,0.11447563608981788,0.09003572963336731,0.5312917160936783,"n_estimators=50 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=1000.0"
100,10,0.01,"(1, 1)",,0.115563301574214,0.09151477533884424,0.5170619627983153,0.09923558531493275,0.07940306756863443,0.6477821435342872,"n_estimators=100 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=nan"
50,3,0.1,"(1, 2)",,0.11557676270469418,0.09068433941496597,0.5169494483501313,0.11482691253130657,0.09049713487567215,0.5284107748241345,"n_estimators=50 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 2) | max_features=nan"
50,3,0.1,"(1, 1)",,0.11578695784904901,0.09052370976499638,0.5151908386278121,0.11432705978750637,0.09006762795575703,0.5325075862013224,"n_estimators=50 | max_depth=3 | learning_rate=0.1 | ngram_range=(1, 1) | max_features=nan"
100,10,0.01,"(1, 2)",,0.11701457902336398,0.09273655513320492,0.5048560465267391,0.10096080755273522,0.08039844522830841,0.6354289912828226,"n_estimators=100 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=nan"
100,10,0.01,"(1, 1)",1000.0,0.11703719505123891,0.09233878523128715,0.5046646298380831,0.10019675178618671,0.080129518771231,0.6409261454130164,"n_estimators=100 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=1000.0"
100,10,0.01,"(1, 2)",1000.0,0.11792464968296011,0.09312198672767173,0.49712421855586664,0.10156339013754177,0.08091328471270584,0.6310641345360146,"n_estimators=100 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=1000.0"
100,6,0.01,"(1, 1)",,0.12426776290014169,0.09872265029189577,0.44157032178891487,0.12083116901731399,0.09665444381820476,0.4778029032798975,"n_estimators=100 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=nan"
100,6,0.01,"(1, 1)",1000.0,0.12448036556095704,0.09892093780295595,0.43965791600551973,0.12101841077084872,0.09674844701345728,0.476183240749255,"n_estimators=100 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=1000.0"
100,6,0.01,"(1, 2)",,0.1246092369112865,0.0987437010528522,0.4384970996739136,0.12099683601366781,0.09643349563006147,0.4763699926978944,"n_estimators=100 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=nan"
100,6,0.01,"(1, 2)",1000.0,0.12472705215754264,0.09920714714347172,0.437434820865509,0.12152479389404666,0.09698693669465439,0.47179040633532465,"n_estimators=100 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=1000.0"
50,10,0.01,"(1, 1)",,0.13241732432043615,0.10512671504563093,0.36592424555059844,0.12457125849228506,0.09933162861755335,0.4449754384306307,"n_estimators=50 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=nan"
50,10,0.01,"(1, 1)",1000.0,0.133196553216441,0.10537348980280274,0.3584396671521206,0.12497583839331253,0.09963471317223908,0.441364389908261,"n_estimators=50 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=1000.0"
50,10,0.01,"(1, 2)",,0.13363082466673004,0.10617320128440251,0.3542493856629312,0.1257691074264425,0.10003197334646752,0.43425013884590113,"n_estimators=50 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=nan"
50,10,0.01,"(1, 2)",1000.0,0.13429983794436978,0.10657208648571677,0.34776739074543694,0.12655820894914738,0.10072074296657692,0.42712860326107627,"n_estimators=50 | max_depth=10 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=1000.0"
100,3,0.01,"(1, 2)",1000.0,0.13578565796799394,0.10818067963008071,0.3332556670719057,0.13806197768333467,0.110135253107403,0.3182507342369547,"n_estimators=100 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=1000.0"
100,3,0.01,"(1, 2)",,0.1361302996847202,0.10823970667609169,0.32986680361148446,0.1382323935617431,0.11022268892523093,0.31656667023195795,"n_estimators=100 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=nan"
100,3,0.01,"(1, 1)",1000.0,0.13683725370617283,0.10873651757671174,0.3228884378706448,0.1390049350941549,0.11067952637055382,0.30890629504736566,"n_estimators=100 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=1000.0"
100,3,0.01,"(1, 1)",,0.13687333257020212,0.10868090743401221,0.3225313328296935,0.1389435980215778,0.1106655590387609,0.30951606206484883,"n_estimators=100 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=nan"
50,6,0.01,"(1, 1)",,0.1383089866041254,0.10997984261050837,0.3082449641680365,0.13699619221010845,0.10933581771560426,0.3287357924022586,"n_estimators=50 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=nan"
50,6,0.01,"(1, 1)",1000.0,0.13843243534647098,0.11004406694559286,0.30700955059387325,0.13714665353789393,0.10948723271172257,0.32726049932262813,"n_estimators=50 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=1000.0"
50,6,0.01,"(1, 2)",,0.13868899022271697,0.11006282410015275,0.3044385515868535,0.13738624721146706,0.10935049428028382,0.3249079093381064,"n_estimators=50 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=nan"
50,6,0.01,"(1, 2)",1000.0,0.13872937864954987,0.1101337481086788,0.3040333756153315,0.13774117006624417,0.10966025184536357,0.3214153456380724,"n_estimators=50 | max_depth=6 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=1000.0"
50,3,0.01,"(1, 1)",1000.0,0.14614207944016674,0.1161588319925723,0.22767143797614986,0.1479955049377204,0.1180990558039139,0.2166180727830791,"n_estimators=50 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=1000.0"
50,3,0.01,"(1, 1)",,0.14617053875368488,0.11613104120160063,0.2273706063344081,0.14802172347748832,0.11812958746613664,0.21634048395288918,"n_estimators=50 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 1) | max_features=nan"
50,3,0.01,"(1, 2)",1000.0,0.14643149087498888,0.11643277939640974,0.22460945826457823,0.14828895525663716,0.1182603436319956,0.21350836229691772,"n_estimators=50 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=1000.0"
50,3,0.01,"(1, 2)",,0.14644438518656863,0.11639782339866721,0.22447289518810187,0.1481820953137972,0.11821646171247734,0.21464147661766864,"n_estimators=50 | max_depth=3 | learning_rate=0.01 | ngram_range=(1, 2) | max_features=nan"
