resume_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.85,0.85,0.783333333,0.516666667,0.816666667,0.85,0.55,0.35,0.76,0.85,0.826666667,0.683333333,0.85,0.85,0.85,0.65,0.61,0.85,0.62,0.75,0.76,0.65,0.85,0.516666667,0.85,0.826666667,0.65,0.583333333
1,0.65,0.75,0.65,0.516666667,0.55,0.716666667,0.35,0.35,0.683333333,0.75,0.683333333,0.65,0.65,0.683333333,0.716666667,0.516666667,0.65,0.65,0.583333333,0.65,0.383333333,0.35,0.65,0.38,0.716666667,0.45,0.583333333,0.383333333
2,0.816666667,0.86,0.416666667,0.283333333,0.716666667,0.75,0.35,0.333333333,0.683333333,0.716666667,0.716666667,0.65,0.65,0.816666667,0.75,0.583333333,0.65,0.596666667,0.416666667,0.716666667,0.716666667,0.45,0.916666667,0.383333333,0.75,0.683333333,0.45,0.516666667
3,0.75,0.7166666666666667,0.8166666666666668,0.7600000000000001,0.75,0.75,0.45,0.4466666666666666,0.91,0.85,0.7600000000000001,0.7933333333333333,0.75,0.6833333333333332,0.6266666666666666,0.8166666666666668,0.9066666666666668,0.75,0.7933333333333333,0.7166666666666667,0.4733333333333333,0.85,0.65,0.3999999999999999,0.3066666666666666,0.8166666666666668,0.7166666666666667,0.4166666666666667
4,0.1966666666666666,0.75,0.8166666666666668,0.6933333333333334,0.65,0.6833333333333332,0.6833333333333332,0.2233333333333333,0.9266666666666667,0.7833333333333333,0.8166666666666668,0.7166666666666667,0.45,0.7833333333333333,0.75,0.85,0.85,0.6833333333333332,0.7166666666666667,0.34,0.3366666666666666,0.9366666666666666,0.7266666666666667,0.3166666666666666,0.2833333333333333,0.8266666666666667,0.3166666666666666,0.3066666666666667
5,0.85,0.85,0.85,0.783333333,0.85,0.85,0.85,0.85,0.896666667,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.716666667,0.85,0.873333333,0.85,0.85,0.65,0.85,0.85,0.85,0.85
6,0.45,0.683333333,0.65,0.45,0.65,0.683333333,0.45,0.45,0.65,0.783333333,0.716666667,0.283333333,0.65,0.75,0.683333333,0.45,0.65,0.626666667,0.516666667,0.65,0.65,0.35,0.65,0.333333333,0.65,0.55,0.61,0.05
7,0.65,0.793333333,0.693333333,0.483333333,0.65,0.783333333,0.85,0.816666667,0.75,0.826666667,0.85,0.783333333,0.736666667,0.85,0.783333333,0.65,0.716666667,0.85,0.716666667,0.803333333,0.65,0.65,0.65,0.65,0.34,0.826666667,0.483333333,0.726666667
8,0.85,0.85,0.816666667,0.6,0.65,0.85,0.55,0.35,0.77,0.826666667,0.85,0.65,0.85,0.826666667,0.85,0.683333333,0.783333333,0.85,0.65,0.65,0.683333333,0.683333333,0.85,0.65,0.816666667,0.816666667,0.65,0.55
9,0.85,0.85,0.693333333,0.383333333,0.816666667,0.783333333,0.35,0.35,0.75,0.826666667,0.793333333,0.4,0.77,0.85,0.85,0.533333333,0.716666667,0.636666667,0.513333333,0.75,0.76,0.346666667,0.85,0.283333333,0.726666667,0.783333333,0.476666667,0.283333333
10,0.8166666666666668,0.85,0.85,0.6833333333333332,0.8266666666666667,0.7600000000000001,0.6833333333333332,0.75,0.85,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.8266666666666667,0.7833333333333333,0.7949999999999999,0.8266666666666667,0.8166666666666668,0.7833333333333333,0.85,0.7816666666666666,0.7933333333333333,0.8166666666666668,0.7833333333333333,0.6833333333333332,0.6833333333333332,0.8933333333333332,0.7600000000000001,0.7166666666666667
11,0.65,0.826666667,0.683333333,0.62,0.816666667,0.85,0.35,0.35,0.65,0.793333333,0.65,0.65,0.65,0.726666667,0.683333333,0.65,0.65,0.683333333,0.583333333,0.65,0.683333333,0.693333333,0.783333333,0.3,0.76,0.583333333,0.626666667,0.383333333
12,0.35,0.65,0.6,0.55,0.6,0.65,0.35,0.35,0.583333333,0.65,0.643333333,0.45,0.65,0.683333333,0.583333333,0.55,0.65,0.516666667,0.593333333,0.616666667,0.35,0.55,0.65,0.266666667,0.65,0.383333333,0.516666667,0.366666667
13,0.65,0.65,0.65,0.65,0.716666667,0.85,0.65,0.316666667,0.65,0.716666667,0.65,0.183333333,0.65,0.66,0.85,0.65,0.483333333,0.85,0.716666667,0.65,0.44,0.316666667,0.85,0.216666667,0.716666667,0.283333333,0.783333333,0.55
14,0.85,0.816666667,0.65,0.383333333,0.85,0.85,0.583333333,0.266666667,0.716666667,0.85,0.816666667,0.333333333,0.793333333,0.826666667,0.85,0.526666667,0.426666667,0.466666667,0.45,0.783333333,0.716666667,0.383333333,0.85,0.35,0.826666667,0.35,0.466666667,0.3
